fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-02-13,AA,AA,AA,1893,AA,N916US,1893,11057,CLT,"Charlotte, NC",12953,LGA,"New York, NY",1812,1830.0,18.0,22.0,1852.0,2011.0,3.0,2012,2014.0,2.0,0.0,,0.0,N,120.0,104.0,79.0,1.0,544.0,,,,,,,,,
2018-04-13,WN,WN,WN,5450,WN,N490WN,5450,13232,MDW,"Chicago, IL",11259,DAL,"Dallas, TX",1430,1503.0,33.0,10.0,1513.0,1925.0,4.0,1650,1929.0,,0.0,,1.0,N,140.0,,,1.0,793.0,,,,,,,,,
2018-04-06,WN,WN,WN,1468,WN,N8606C,1468,14057,PDX,"Portland, OR",14107,PHX,"Phoenix, AZ",650,650.0,0.0,9.0,659.0,854.0,5.0,925,859.0,-26.0,0.0,,0.0,N,155.0,129.0,115.0,1.0,1009.0,,,,,,,,,
2019-04-27,WN,WN,WN,3599,WN,N923WN,3599,13495,MSY,"New Orleans, LA",11292,DEN,"Denver, CO",1010,1012.0,2.0,11.0,1023.0,1152.0,6.0,1200,1158.0,-2.0,0.0,,0.0,N,170.0,166.0,149.0,1.0,1062.0,,,,,,,,,
2019-10-22,UA,UA,UA,2257,UA,N479UA,2257,12266,IAH,"Houston, TX",14107,PHX,"Phoenix, AZ",2145,2137.0,-8.0,17.0,2154.0,2209.0,3.0,2230,2212.0,-18.0,0.0,,0.0,N,165.0,155.0,135.0,1.0,1009.0,,,,,,,,,
2018-09-25,AA,AA,AA,792,AA,N519UW,792,11298,DFW,"Dallas/Fort Worth, TX",14100,PHL,"Philadelphia, PA",1240,1235.0,-5.0,9.0,1244.0,1633.0,5.0,1700,1638.0,-22.0,0.0,,0.0,N,200.0,183.0,169.0,1.0,1303.0,,,,,,,,,
2018-03-12,AA,AA,AA,2126,AA,N807AW,2126,10721,BOS,"Boston, MA",12953,LGA,"New York, NY",800,752.0,-8.0,18.0,810.0,909.0,5.0,929,914.0,-15.0,0.0,,0.0,N,89.0,82.0,59.0,1.0,184.0,,,,,,,,,
2018-07-01,AA,AA_CODESHARE,AA,3242,OO,N709SK,3242,11721,FNT,"Flint, MI",13930,ORD,"Chicago, IL",600,627.0,27.0,14.0,641.0,623.0,14.0,615,637.0,22.0,0.0,,0.0,N,75.0,70.0,42.0,1.0,223.0,22.0,0.0,0.0,0.0,0.0,,,,
2018-02-17,UA,UA_CODESHARE,UA,5947,OO,N794SK,5947,10372,ASE,"Aspen, CO",14771,SFO,"San Francisco, CA",1825,1843.0,18.0,13.0,1856.0,1953.0,7.0,1959,2000.0,1.0,0.0,,0.0,N,154.0,137.0,117.0,1.0,848.0,,,,,,,,,
2019-02-15,UA,UA_CODESHARE,UA,3921,ZW,N445AW,3921,14685,SAV,"Savannah, GA",12264,IAD,"Washington, DC",945,1037.0,52.0,15.0,1052.0,1208.0,6.0,1124,1214.0,50.0,0.0,,0.0,N,99.0,97.0,76.0,1.0,515.0,50.0,0.0,0.0,0.0,0.0,,,,
2019-11-22,DL,DL_CODESHARE,DL,5441,9E,N924XJ,5441,11986,GRR,"Grand Rapids, MI",12953,LGA,"New York, NY",1253,1249.0,-4.0,10.0,1259.0,1420.0,5.0,1448,1425.0,-23.0,0.0,,0.0,N,115.0,96.0,81.0,1.0,618.0,,,,,,,,,
2018-03-12,DL,DL,DL,433,DL,N340NB,433,12478,JFK,"New York, NY",13487,MSP,"Minneapolis, MN",1605,1604.0,-1.0,20.0,1624.0,1746.0,3.0,1830,1749.0,-41.0,0.0,,0.0,N,205.0,165.0,142.0,1.0,1029.0,,,,,,,,,
